epoch,train_acc,train_cost,test_acc
507,0.6114,1.103564,0.549
508,0.5699,1.2239699,0.496
509,0.5951,1.1677026,0.5475
510,0.5926,1.1579233,0.527
511,0.6184,1.0930008,0.5435
512,0.5789,1.1675146,0.518
513,0.5674,1.2052883,0.5065
514,0.6144,1.0998127,0.545
515,0.5709,1.2409184,0.493
516,0.6265,1.0818789,0.5465
517,0.6232,1.0739673,0.554
518,0.5906,1.1553277,0.503
519,0.6207,1.0843518,0.551
520,0.6135,1.1168962,0.5465
521,0.5697,1.1966228,0.49
522,0.6295,1.064722,0.56
523,0.5504,1.2773447,0.4985
524,0.6265,1.0768012,0.5505
525,0.6062,1.104148,0.524
526,0.5973,1.1308416,0.526
527,0.604,1.1326684,0.533
528,0.5687,1.275819,0.511
529,0.6075,1.109667,0.527
530,0.6333,1.0609349,0.571
531,0.5761,1.179062,0.517
532,0.4993,1.4193301,0.4115
533,0.6056,1.1151261,0.5185
534,0.6105,1.1144574,0.522
535,0.5967,1.1617613,0.529
536,0.5148,1.4577043,0.461
537,0.6022,1.1304892,0.5165
538,0.5615,1.2588385,0.493
539,0.5463,1.2642004,0.495
540,0.6097,1.0881568,0.54
541,0.6249,1.0683075,0.554
542,0.5979,1.1267203,0.5455
543,0.6322,1.0557396,0.5515
544,0.6298,1.071916,0.5565
545,0.5786,1.1958059,0.5195
546,0.6224,1.0795364,0.5335
547,0.6066,1.1066879,0.554
548,0.6269,1.0633465,0.5395
549,0.5863,1.1448865,0.5015
550,0.5624,1.2208112,0.483
551,0.6035,1.130031,0.518
552,0.6164,1.0858724,0.5455
553,0.5762,1.1894149,0.4875
554,0.6274,1.0712959,0.5535
555,0.5799,1.1581845,0.509
556,0.5212,1.3903524,0.4615
557,0.6128,1.0989525,0.533
558,0.6107,1.1081146,0.541
559,0.6125,1.1113473,0.5245
560,0.6253,1.0660276,0.5445
561,0.6113,1.1018357,0.5185
562,0.6123,1.0983471,0.5445
563,0.6219,1.0717101,0.5435
564,0.6339,1.0498465,0.562
565,0.5914,1.1421455,0.54
566,0.5992,1.11224,0.541
567,0.6132,1.1062138,0.5125
568,0.6042,1.1363586,0.5075
569,0.6311,1.0484703,0.5365
570,0.6185,1.0945469,0.541
571,0.6522,1.012989,0.568
572,0.6405,1.0319384,0.5495
573,0.629,1.0600059,0.5615
574,0.6297,1.0498239,0.543
575,0.6259,1.065616,0.56
576,0.6513,1.0117213,0.5665
577,0.6426,1.0407559,0.5455
578,0.6124,1.0797219,0.5255
579,0.5843,1.1672031,0.506
580,0.6263,1.0622317,0.542
581,0.6235,1.0720319,0.542
582,0.6317,1.0590485,0.5515
583,0.6102,1.1482196,0.539
584,0.6555,1.0075474,0.5715
585,0.6207,1.0825106,0.521
586,0.6537,1.0042219,0.557
587,0.6412,1.0454521,0.552
588,0.6354,1.0532491,0.536
589,0.644,1.0237036,0.5505
590,0.5176,1.3171864,0.473
591,0.6324,1.048992,0.5375
592,0.5504,1.2601404,0.4995
593,0.6557,1.0063232,0.5625
594,0.6333,1.0410789,0.557
595,0.6233,1.0668876,0.551
596,0.6177,1.0822492,0.5185
597,0.6261,1.0723825,0.549
598,0.6462,1.0253047,0.5415
599,0.6126,1.0971721,0.512
600,0.6113,1.1247454,0.5255
601,0.6499,1.0148174,0.559
602,0.5438,1.2617568,0.458
603,0.6028,1.0967313,0.544
604,0.6445,1.03086,0.5615
605,0.6079,1.1143563,0.5125
606,0.6455,1.0359308,0.5545
607,0.5958,1.141389,0.5025
608,0.6207,1.0672733,0.5345
609,0.6467,1.0315143,0.54
610,0.6096,1.0945488,0.5425
611,0.5411,1.3335235,0.477
612,0.6444,1.021722,0.567
613,0.5828,1.1696229,0.51
614,0.6628,0.9772819,0.556
615,0.639,1.0218233,0.554
616,0.614,1.1278251,0.5255
617,0.5734,1.2281096,0.5025
618,0.5093,1.404648,0.4625
619,0.6472,1.0149186,0.5395
620,0.6346,1.04603,0.5465
621,0.5708,1.1586162,0.501
622,0.5924,1.1480591,0.495
623,0.5222,1.36985,0.4815
624,0.652,0.9942023,0.553
625,0.6464,1.0239275,0.5405
626,0.6423,1.0408463,0.552
627,0.5769,1.1609737,0.5105
628,0.597,1.1664399,0.5105
629,0.6489,1.0213344,0.55
630,0.6689,0.974909,0.568
631,0.6704,0.97333455,0.577
632,0.6785,0.94527185,0.5755
633,0.6462,1.0218809,0.5485
634,0.6504,1.0051272,0.5345
635,0.6145,1.049201,0.5305
636,0.6434,1.0416086,0.5435
637,0.6591,0.9918289,0.551
638,0.6283,1.0592258,0.544
639,0.6226,1.0626456,0.5325
640,0.6165,1.0834384,0.5395
641,0.657,0.9791162,0.571
642,0.619,1.0626818,0.5165
643,0.6468,1.0017892,0.5485
644,0.6174,1.0768317,0.545
645,0.6608,0.9835422,0.5625
646,0.5723,1.1833751,0.507
647,0.6093,1.0904528,0.525
