type,epoch,test accuracy,entropy_cost
Char RNN 2 Layer Vanilla,79,0.108571425,2.4842026
Char RNN 2 Layer Vanilla,80,0.11571429,2.501125
Char RNN 2 Layer Vanilla,81,0.13285714,2.4293444
Char RNN 2 Layer Vanilla,82,0.111428574,2.4681075
Char RNN 2 Layer Vanilla,83,0.10285714,2.6675684
Char RNN 2 Layer Vanilla,84,0.08571429,2.5468059
Char RNN 2 Layer Vanilla,85,0.10285714,2.5224373
Char RNN 2 Layer Vanilla,86,0.114285715,2.4723353
Char RNN 2 Layer Vanilla,87,0.12571429,2.43891
Char RNN 2 Layer Vanilla,88,0.114285715,2.4201934
Char RNN 2 Layer Vanilla,89,0.11857143,2.3963814
Char RNN 2 Layer Vanilla,90,0.12714286,2.3676405
Char RNN 2 Layer Vanilla,91,0.14857143,2.3739603
Char RNN 2 Layer Vanilla,92,0.13571429,2.369765
Char RNN 2 Layer Vanilla,93,0.13142857,2.438883
Char RNN 2 Layer Vanilla,94,0.12428571,2.4172266
Char RNN 2 Layer Vanilla,95,0.13142857,2.29264
Char RNN 2 Layer Vanilla,96,0.11857143,2.4342148
Char RNN 2 Layer Vanilla,97,0.14142857,2.3506603
Char RNN 2 Layer Vanilla,98,0.14428571,2.4735177
Char RNN 2 Layer Vanilla,99,0.111428574,2.375287
Char RNN LSTM,0,0.14857143,2.5507293
Char RNN LSTM,1,0.12714286,2.6002564
Char RNN LSTM,2,0.10428572,2.600095
Char RNN LSTM,3,0.15142857,2.5222907
Char RNN LSTM,4,0.16857143,2.2915516
Char RNN LSTM,5,0.22571428,2.1945274
Char RNN LSTM,6,0.18571429,2.29707
Char RNN LSTM,7,0.19428572,2.2801924
Char RNN LSTM,8,0.18857142,2.4501882
Char RNN LSTM,9,0.20571429,2.518345
Char RNN LSTM,10,0.25142857,2.1390715
Char RNN LSTM,11,0.12142857,2.6146333
Char RNN LSTM,12,0.15714286,2.4924195
Char RNN LSTM,13,0.23,2.258676
Char RNN LSTM,14,0.24571429,2.1408105
Char RNN LSTM,15,0.27285713,2.0246341
Char RNN LSTM,16,0.25285715,2.0759149
Char RNN LSTM,17,0.31714284,1.8751353
Char RNN LSTM,18,0.35714287,1.7383227
Char RNN LSTM,19,0.37142858,1.6702923
Char RNN LSTM,20,0.39857143,1.5846403
Char RNN LSTM,21,0.40142858,1.6139352
Char RNN LSTM,22,0.43714285,1.4213297
Char RNN LSTM,23,0.32428572,1.9424887
Char RNN LSTM,24,0.43285716,1.5853735
Char RNN LSTM,25,0.4542857,1.4581126
Char RNN LSTM,26,0.44714287,1.4038326
Char RNN LSTM,27,0.5,1.2733757
Char RNN LSTM,28,0.4857143,1.3102002
Char RNN LSTM,29,0.53,1.1375848
Char RNN LSTM,30,0.3642857,1.7755467
Char RNN LSTM,31,0.45,1.4454873
Char RNN LSTM,32,0.48714286,1.3423456
Char RNN LSTM,33,0.5057143,1.2607588
Char RNN LSTM,34,0.52428573,1.2051225
Char RNN LSTM,35,0.54571426,1.1400347
Char RNN LSTM,36,0.55,1.1017762
Char RNN LSTM,37,0.55,1.0612041
Char RNN LSTM,38,0.56857145,1.0216817
Char RNN LSTM,39,0.5657143,0.9956044
Char RNN LSTM,40,0.5857143,0.9491236
Char RNN LSTM,41,0.61142856,0.90308875
Char RNN LSTM,42,0.60571426,0.9038804
Char RNN LSTM,43,0.61,0.84741056
Char RNN LSTM,44,0.62285715,0.8120515
Char RNN LSTM,45,0.62714285,0.79148096
Char RNN LSTM,46,0.62857145,0.7669034
Char RNN LSTM,47,0.62285715,0.75100917
Char RNN LSTM,48,0.62857145,0.7363717
Char RNN LSTM,49,0.63,0.7242115
Char RNN LSTM,50,0.64,0.6980067
Char RNN LSTM,51,0.64,0.6623422
Char RNN LSTM,52,0.63714284,0.6922131
Char RNN LSTM,53,0.46857142,1.2963754
Char RNN LSTM,54,0.5757143,0.88366514
Char RNN LSTM,55,0.5971429,0.78938544
Char RNN LSTM,56,0.6142857,0.7441933
Char RNN LSTM,57,0.6342857,0.69426554
Char RNN LSTM,58,0.64,0.6585893
Char RNN LSTM,59,0.6414286,0.6283158
Char RNN LSTM,60,0.64428574,0.6209436
Char RNN LSTM,61,0.6557143,0.5978497
Char RNN LSTM,62,0.64857143,0.5454296
Char RNN LSTM,63,0.6528571,0.53252536
Char RNN LSTM,64,0.6571429,0.53874123
Char RNN LSTM,65,0.66714287,0.532014
Char RNN LSTM,66,0.6628571,0.48461115
Char RNN LSTM,67,0.68,0.51689506
Char RNN LSTM,68,0.6628571,0.4637969
Char RNN LSTM,69,0.6571429,0.4881301
Char RNN LSTM,70,0.6742857,0.46547678
Char RNN LSTM,71,0.67,0.42948374
Char RNN LSTM,72,0.6757143,0.42353338
Char RNN LSTM,73,0.67,0.40845528
Char RNN LSTM,74,0.67142856,0.43029374
Char RNN LSTM,75,0.67285717,0.42123
Char RNN LSTM,76,0.69142854,0.4435994
Char RNN LSTM,77,0.68714285,0.37271506
Char RNN LSTM,78,0.68,0.36576504
Char RNN LSTM,79,0.68285716,0.3424528
Char RNN LSTM,80,0.68285716,0.34591797
Char RNN LSTM,81,0.6785714,0.32757244
Char RNN LSTM,82,0.6785714,0.33082336
Char RNN LSTM,83,0.6757143,0.3156697
Char RNN LSTM,84,0.68,0.31572723
Char RNN LSTM,85,0.67714286,0.32087117
Char RNN LSTM,86,0.67285717,0.30980024
Char RNN LSTM,87,0.68714285,0.28065237
Char RNN LSTM,88,0.6685714,0.28807914
Char RNN LSTM,89,0.6742857,0.32264405
Char RNN LSTM,90,0.6785714,0.27458033
Char RNN LSTM,91,0.6757143,0.2575269
Char RNN LSTM,92,0.67714286,0.24875331
Char RNN LSTM,93,0.69285715,0.23758109
Char RNN LSTM,94,0.68285716,0.22987907
Char RNN LSTM,95,0.6685714,0.33099034
Char RNN LSTM,96,0.68857145,0.2535491
Char RNN LSTM,97,0.66714287,0.23613827
Char RNN LSTM,98,0.68285716,0.20746383
Char RNN LSTM,99,0.66571426,0.20505811
Char RNN 2 Layer LSTM,0,0.11857143,2.5782213
Char RNN 2 Layer LSTM,1,0.18571429,2.3866432
Char RNN 2 Layer LSTM,2,0.23714286,2.1685495
Char RNN 2 Layer LSTM,3,0.087142855,2.671789
Char RNN 2 Layer LSTM,4,0.087142855,2.6002393
Char RNN 2 Layer LSTM,5,0.13571429,2.5291991
Char RNN 2 Layer LSTM,6,0.15857142,2.4207306
Char RNN 2 Layer LSTM,7,0.122857146,2.5075583
Char RNN 2 Layer LSTM,8,0.25142857,2.1272452
Char RNN 2 Layer LSTM,9,0.19714285,2.1489859
Char RNN 2 Layer LSTM,10,0.20285714,2.240911
Char RNN 2 Layer LSTM,11,0.23428571,2.0962548
Char RNN 2 Layer LSTM,12,0.25857142,1.9454494
Char RNN 2 Layer LSTM,13,0.31285715,1.8169749
Char RNN 2 Layer LSTM,14,0.36,1.6411947
Char RNN 2 Layer LSTM,15,0.37857142,1.5352716
Char RNN 2 Layer LSTM,16,0.39142856,1.5564015
Char RNN 2 Layer LSTM,17,0.42,1.4111277
Char RNN 2 Layer LSTM,18,0.37714285,1.5702757
Char RNN 2 Layer LSTM,19,0.47142857,1.3767322
Char RNN 2 Layer LSTM,20,0.48714286,1.2779984
Char RNN 2 Layer LSTM,21,0.5228571,1.2518173
Char RNN 2 Layer LSTM,22,0.54,1.148214
Char RNN 2 Layer LSTM,23,0.5042857,1.2331396
Char RNN 2 Layer LSTM,24,0.5485714,1.096476
Char RNN 2 Layer LSTM,25,0.55714285,1.1082987
Char RNN 2 Layer LSTM,26,0.5642857,1.0192616
