type,epoch,test accuracy,entropy_cost
Vanilla Char RNN,99,0.13428572,2.295177
GRU Word RNN,0,0.16571428,2.5235317
GRU Word RNN,1,0.3157143,1.7388486
GRU Word RNN,2,0.5742857,0.9782229
GRU Word RNN,3,0.70428574,0.5465434
GRU Word RNN,4,0.7871429,0.30547825
GRU Word RNN,5,0.81714284,0.14623518
GRU Word RNN,6,0.8357143,0.06730318
GRU Word RNN,7,0.8357143,0.0452517
GRU Word RNN,8,0.85571426,0.032514304
GRU Word RNN,9,0.8442857,0.0198083
GRU Word RNN,10,0.8542857,0.018162904
GRU Word RNN,11,0.8542857,0.019722212
GRU Word RNN,12,0.86142856,0.015691806
GRU Word RNN,13,0.86,0.007838953
GRU Word RNN,14,0.87285715,0.004806326
GRU Word RNN,15,0.87,0.0075995186
GRU Word RNN,16,0.86714286,0.005103751
GRU Word RNN,17,0.8642857,0.003740229
GRU Word RNN,18,0.8642857,0.009338601
GRU Word RNN,19,0.8528572,0.008014881
GRU Word RNN,20,0.8657143,0.005321841
GRU Word RNN,21,0.85714287,0.004953831
GRU Word RNN,22,0.8314286,0.02243387
GRU Word RNN,23,0.86,0.00762675
GRU Word RNN,24,0.85714287,0.008921629
GRU Word RNN,25,0.8528572,0.002497453
GRU Word RNN,26,0.86,0.0017811317
GRU Word RNN,27,0.86,0.0014870752
GRU Word RNN,28,0.8657143,0.00129577
GRU Word RNN,29,0.8642857,0.0011492069
GRU Word RNN,30,0.86285716,0.0010366808
GRU Word RNN,31,0.8642857,0.00094661745
GRU Word RNN,32,0.8657143,0.0008689167
GRU Word RNN,33,0.8657143,0.00080308673
GRU Word RNN,34,0.8657143,0.00074624136
GRU Word RNN,35,0.86714286,0.00069625967
GRU Word RNN,36,0.86714286,0.00065160566
GRU Word RNN,37,0.86714286,0.0006116605
GRU Word RNN,38,0.8685714,0.0005760677
GRU Word RNN,39,0.87,0.00054317695
GRU Word RNN,40,0.87142855,0.000514015
GRU Word RNN,41,0.87142855,0.000486715
GRU Word RNN,42,0.87142855,0.000461709
GRU Word RNN,43,0.87142855,0.00043882374
GRU Word RNN,44,0.87142855,0.00041762815
GRU Word RNN,45,0.8742857,0.00039778344
GRU Word RNN,46,0.8742857,0.00037943313
GRU Word RNN,47,0.8742857,0.00036244333
GRU Word RNN,48,0.8742857,0.00034650898
GRU Word RNN,49,0.8742857,0.00033164103
GRU Word RNN,50,0.8742857,0.00031750088
GRU Word RNN,51,0.8757143,0.00030427778
GRU Word RNN,52,0.8757143,0.00029201005
GRU Word RNN,53,0.8757143,0.00028019922
GRU Word RNN,54,0.8757143,0.0002691265
GRU Word RNN,55,0.87285715,0.0002587076
GRU Word RNN,56,0.87142855,0.00024881118
GRU Word RNN,57,0.87,0.0002394114
GRU Word RNN,58,0.87,0.00023049333
GRU Word RNN,59,0.87,0.00022217963
GRU Word RNN,60,0.87,0.00021404625
