type,epoch,test accuracy,entropy_cost
Vanilla Char RNN w/ GC,17,0.10285714,2.5652602
Vanilla Char RNN w/ GC,18,0.1,2.562666
Vanilla Char RNN w/ GC,19,0.10285714,2.5367174
Vanilla Char RNN w/ GC,20,0.09428571,2.5479517
Vanilla Char RNN w/ GC,21,0.108571425,2.506649
Vanilla Char RNN w/ GC,22,0.10714286,2.4899955
Vanilla Char RNN w/ GC,23,0.108571425,2.476985
Vanilla Char RNN w/ GC,24,0.11857143,2.4503496
Vanilla Char RNN w/ GC,25,0.12857144,2.4846525
Vanilla Char RNN w/ GC,26,0.10714286,2.5540044
Vanilla Char RNN w/ GC,27,0.09142857,2.4625506
Vanilla Char RNN w/ GC,28,0.08142857,2.4562056
Vanilla Char RNN w/ GC,29,0.11857143,2.3743324
Vanilla Char RNN w/ GC,30,0.095714286,2.4831896
Vanilla Char RNN w/ GC,31,0.13428572,2.4212723
Vanilla Char RNN w/ GC,32,0.12,2.4248083
Vanilla Char RNN w/ GC,33,0.11285714,2.4220872
Vanilla Char RNN w/ GC,34,0.14428571,2.3433266
Vanilla Char RNN w/ GC,35,0.10142857,2.639308
Vanilla Char RNN w/ GC,36,0.10714286,2.550149
Vanilla Char RNN w/ GC,37,0.087142855,2.5998187
Vanilla Char RNN w/ GC,38,0.111428574,2.5037413
Vanilla Char RNN w/ GC,39,0.07857143,2.7067704
Vanilla Char RNN w/ GC,40,0.09,2.6647074
Vanilla Char RNN w/ GC,41,0.08,2.6422305
Vanilla Char RNN w/ GC,42,0.07857143,2.6117597
Vanilla Char RNN w/ GC,43,0.09142857,2.6241715
Vanilla Char RNN w/ GC,44,0.09142857,2.592736
Vanilla Char RNN w/ GC,45,0.087142855,2.5994933
Vanilla Char RNN w/ GC,46,0.092857145,2.5973222
Vanilla Char RNN w/ GC,47,0.08285714,2.600095
Vanilla Char RNN w/ GC,48,0.10714286,2.5852978
Vanilla Char RNN w/ GC,49,0.122857146,2.561226
Vanilla Char RNN w/ GC,50,0.114285715,2.5679688
Vanilla Char RNN w/ GC,51,0.12571429,2.5538871
Vanilla Char RNN w/ GC,52,0.08571429,2.5840476
Vanilla Char RNN w/ GC,53,0.13142857,2.5648825
Vanilla Char RNN w/ GC,54,0.117142856,2.5746605
Vanilla Char RNN w/ GC,55,0.1,2.553295
Vanilla Char RNN w/ GC,56,0.087142855,2.6106508
Vanilla Char RNN w/ GC,57,0.10285714,2.5799875
Vanilla Char RNN w/ GC,58,0.13142857,2.562802
Vanilla Char RNN w/ GC,59,0.09428571,2.5699167
Vanilla Char RNN w/ GC,60,0.07714286,2.6776528
Vanilla Char RNN w/ GC,61,0.09,2.6171007
Vanilla Char RNN w/ GC,62,0.08571429,2.6095998
Vanilla Char RNN w/ GC,63,0.10142857,2.6058567
Vanilla Char RNN w/ GC,64,0.10142857,2.609963
Vanilla Char RNN w/ GC,65,0.07285714,2.6578581
Vanilla Char RNN w/ GC,66,0.095714286,2.6341777
Vanilla Char RNN w/ GC,67,0.09714286,2.603813
Vanilla Char RNN w/ GC,68,0.105714284,2.5929737
Vanilla Char RNN w/ GC,69,0.1,2.60171
Vanilla Char RNN w/ GC,70,0.111428574,2.601337
Vanilla Char RNN w/ GC,71,0.1,2.596581
Vanilla Char RNN w/ GC,72,0.10142857,2.5892136
Vanilla Char RNN w/ GC,73,0.09428571,2.5897052
Vanilla Char RNN w/ GC,74,0.09428571,2.5939686
Vanilla Char RNN w/ GC,75,0.11571429,2.5686042
Vanilla Char RNN w/ GC,76,0.08285714,2.611173
Vanilla Char RNN w/ GC,77,0.10285714,2.5910525
Vanilla Char RNN w/ GC,78,0.11285714,2.5696135
Vanilla Char RNN w/ GC,79,0.10428572,2.596768
Vanilla Char RNN w/ GC,80,0.09,2.9496045
Vanilla Char RNN w/ GC,81,0.1,2.6177626
